rule,affected_files
java:S1135,92
java:S3776,82
java:S1186,57
java:S1192,55
java:S125,39
java:S1128,39
java:S1948,36
java:S112,30
java:S108,19
java:S1130,17
java:S7158,16
java:S1172,15
java:S1118,14
java:S1141,12
java:S6541,12
java:S5993,12
java:S5411,11
java:S107,10
java:S117,9
java:S6548,9
java:S1144,7
java:S106,6
java:S1066,6
java:S1643,6
java:S1197,5
java:S1075,5
java:S1481,5
java:S135,5
java:S1871,5
java:S3008,4
java:S1104,4
java:S1124,4
java:S1126,4
java:S115,4
java:S1168,4
java:S2160,4
java:S4144,4
java:S1149,4
java:S1116,3
java:S1133,3
java:S1845,3
java:S3626,3
java:S3252,3
java:S1444,3
java:S2696,3
java:S6912,2
java:S8346,2
java:S1117,2
java:S1123,2
java:S127,2
java:S1301,2
java:S6213,2
java:S5843,2
java:S2692,2
java:S3878,2
java:S3416,2
java:S1452,2
java:S1181,2
java:S3358,2
java:S1659,2
java:S1700,2
java:S2387,2
java:S110,1
java:S1125,1
java:S1199,1
java:S1905,1
java:S1488,1
java:S131,1
java:S1319,1
java:S1170,1
java:S1165,1
java:S2130,1
java:S2386,1
java:S3024,1
java:S2065,1
java:S4030,1
java:S5361,1
java:S6035,1
java:S5857,1
java:S6397,1
java:S6395,1
